Feature,Importance
worst perimeter,0.15382126372756766
worst area,0.15031679136968645
mean concave points,0.12479376763620482
worst concave points,0.09109948376845646
mean perimeter,0.06078781569091988
mean concavity,0.05997041595809113
worst radius,0.059338686845445195
mean radius,0.05231572242062524
mean area,0.03937172355353792
worst concavity,0.038512546051302256
